,result,time
0,False,1519068862
1,False,1519068867
2,False,1519068873
3,False,1519068878
4,False,1519068884
5,False,1519068890
6,False,1519068895
7,False,1519068901
8,False,1519068906
9,False,1519068912
10,False,1519068918
11,False,1519068923
12,False,1519068929
13,False,1519068935
14,False,1519068940
15,False,1519068946
16,False,1519068951
17,False,1519068957
18,False,1519068963
19,False,1519068968
20,False,1519068974
21,False,1519068979
22,False,1519068985
23,False,1519068991
24,False,1519068996
25,False,1519069002
26,False,1519069008
27,False,1519069013
28,False,1519069019
29,False,1519069025
30,False,1519069030
31,False,1519069036
32,False,1519069041
33,False,1519069047
34,False,1519069053
35,False,1519069058
36,False,1519069064
37,False,1519069069
38,False,1519069075
39,False,1519069081
40,False,1519069086
41,False,1519069092
42,False,1519069098
43,False,1519069103
44,False,1519069109
45,False,1519069114
46,False,1519069120
47,False,1519069126
48,False,1519069131
49,False,1519069137
50,False,1519069143
51,False,1519069148
52,False,1519069154
53,False,1519069159
54,False,1519069165
55,False,1519069171
56,False,1519069176
57,False,1519069182
58,False,1519069188
59,False,1519069193
60,False,1519069199
61,False,1519069204
62,False,1519069210
63,False,1519069216
64,False,1519069221
65,False,1519069227
66,False,1519069232
67,False,1519069238
68,False,1519069244
69,False,1519069249
70,False,1519069255
71,False,1519069260
72,False,1519069266
73,False,1519069272
74,False,1519069277
75,False,1519069283
76,False,1519069289
77,False,1519069294
78,False,1519069300
79,False,1519069305
80,False,1519069311
81,False,1519069317
82,False,1519069322
83,False,1519069328
84,False,1519069334
85,False,1519069339
86,False,1519069345
87,False,1519069350
88,False,1519069356
89,False,1519069362
90,False,1519069367
91,False,1519069373
92,False,1519069378
93,False,1519069384
94,False,1519069390
95,False,1519069395
96,False,1519069401
97,False,1519069407
98,False,1519069412
99,False,1519069418
100,False,1519069423
101,False,1519069429
102,False,1519069435
103,False,1519069440
104,False,1519069446
105,False,1519069451
106,False,1519069457
107,False,1519069463
108,False,1519069468
109,False,1519069474
110,False,1519069480
111,False,1519069485
112,False,1519069491
113,False,1519069496
114,False,1519069502
115,False,1519069508
116,False,1519069513
117,True,1519069519
118,True,1519069524
119,False,1519069530
120,False,1519069536
121,False,1519069541
122,False,1519069547
123,False,1519069553
